GEOHASH,LATITUDE,LONGITUDE,hour,AVERAGE_SPEED,DISTRICT
sxk9y5,41.1080932617188,29.0972900390625,18,70.89655172413794,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,19,76.25,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,20,77.93103448275862,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,21,81.82758620689656,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,22,77.375,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,23,77.65517241379311,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,0,31.133333333333333,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,1,25.70967741935484,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,2,23.866666666666667,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,3,22.035714285714285,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,4,25.76923076923077,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,5,28.36,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,6,40.6551724137931,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,7,47.96774193548387,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,8,46.61290322580645,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,9,45.12903225806452,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,10,44.43333333333333,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,11,44.16129032258065,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,12,45.0,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,13,42.12903225806452,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,14,43.2258064516129,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,15,45.903225806451616,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,16,45.70967741935484,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,17,46.54838709677419,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,18,43.38709677419355,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,19,39.29032258064516,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,20,36.70967741935484,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,21,33.225806451612904,Sarıyer
